rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,808959,Munetaka Murakami,CWS,CIN,2026-08-12T23:40:00Z,Scheduled,2,Rhett Lowder,695076,R,66.5,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",83.0,50.6,27.6,95.5,80.0,45.5,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 11.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.8,59.6,94.2,104.7255,0.509,0.289,0.367,74.8,50.3,42.1,39.9,26.0,0.301,9.5,38.2,90.5,0.457,0.19,28.3,,,Rate Field,
2,656941,Kyle Schwarber,PHI,STL,2026-08-12T18:15:00Z,Scheduled,1,Kyle Leahy,681517,R,65.3,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",77.7,54.3,22.1,88.7,80.0,74.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 9.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.49,54.56,93.53,104.558,0.5229,0.2812,0.3807,77.16,75.21,54.77,33.32,41.3,0.2971,10.43,47.18,90.78,0.4492,0.1754,21.84,,,Busch Stadium,
3,624413,Pete Alonso,BAL,MIN,2026-08-12T17:40:00Z,Scheduled,2,Zebby Matthews,805673,R,63.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",72.5,56.3,27.1,95.5,50.0,88.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 11.6% barrel, 15.5 HR allowed",EV profile; pitcher fly-ball pressure modest,15.54,55.8,93.92,104.1891,0.5468,0.271,0.3867,74.78,49.21,35.87,31.3,29.6,0.2317,11.58,40.06,90.11,0.4463,0.1872,27.66,,,Target Field,
4,680664,Eduardo Valencia,DET,CLE,2026-08-12T22:40:00Z,Scheduled,5,Foster Griffin,656492,L,62.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Platoon Edge",84.5,42.9,27.6,81.9,78.0,40.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,18,0,Contact streak: 7/18 over last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 21.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,30.0,60.0,91.2,103.2988,0.634,0.35,0.4,72.9,24.4,33.3,30.0,4.0,0.415,9.2,37.6,87.9,0.411,0.161,25.8,,,Comerica Park,
5,695506,Jac Caglianone,KC,LAD,2026-08-13T02:10:00Z,Scheduled,3,Eric Lauer,641778,L,59.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",59.9,56.3,27.6,92.1,50.0,100.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,27,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 10.4% barrel, 19.9 HR allowed",EV profile; pitcher allows elevated contact,13.82,51.36,92.06,104.9784,0.4863,0.2199,0.3483,77.4,75.81,43.51,22.12,16.8,0.1947,10.41,37.42,89.06,0.4596,0.2077,36.9,,,UNIQLO Field at Dodger Stadium,
6,670541,Yordan Alvarez,HOU,SF,2026-08-12T19:45:00Z,Scheduled,2,,,,59.4,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",82.8,41.2,19.3,95.5,60.0,10.8,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.74,53.32,94.56,105.1049,0.6456,0.328,0.4427,76.1,61.45,41.93,36.45,26.3,0.2578,,,,,,,,,Oracle Park,
7,696100,Hunter Goodman,COL,AZ,2026-08-12T19:40:00Z,Scheduled,4,Merrill Kelly,518876,R,58.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",60.0,65.4,28.2,90.4,50.0,31.6,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","same-side matchup; pitcher baseline 11.7% barrel, 23.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.7,46.27,90.66,102.7807,0.4679,0.2329,0.3276,75.0,49.65,47.58,33.11,33.1,0.277,11.68,43.99,90.2,0.5115,0.2265,26.29,,,Chase Field,
8,677951,Bobby Witt,KC,LAD,2026-08-13T02:10:00Z,Scheduled,2,Eric Lauer,641778,L,58.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",57.1,56.3,27.6,95.5,78.0,24.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,0,"Last 7 games: 7/25, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 19.9 HR allowed",EV profile; pitcher allows elevated contact,12.08,51.09,92.88,103.5941,0.5087,0.2101,0.3769,73.95,41.88,29.96,26.71,16.0,0.1759,10.41,37.42,89.06,0.4596,0.2077,36.9,,,UNIQLO Field at Dodger Stadium,
9,621566,Matt Olson,ATL,NYM,2026-08-12T23:15:00Z,Scheduled,3,Zac Thornton,804267,L,58.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",67.7,42.0,30.9,92.1,50.0,70.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 8.8% barrel, 3.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.38,51.27,92.88,103.9236,0.513,0.2643,0.3621,74.53,47.54,38.42,32.78,33.2,0.2652,8.8,39.8,89.3,0.423,0.155,29.2,,,Truist Park,
10,660670,Ronald Acuna,ATL,NYM,2026-08-12T23:15:00Z,Scheduled,1,Zac Thornton,804267,L,57.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.1,42.0,30.9,88.7,78.0,72.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.23,48.02,91.09,102.849,0.5091,0.2482,0.3823,75.98,62.88,36.72,28.72,14.7,0.2,8.8,39.8,89.3,0.423,0.155,29.2,,,Truist Park,
11,700250,Ben Rice,NYY,SEA,2026-08-12T23:05:00Z,Scheduled,2,Bryce Miller,682243,R,57.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",64.9,37.3,38.2,95.5,80.0,18.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,24,1,"Last 7 games: 2/24, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 14.2 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.54,50.43,92.39,102.5444,0.5215,0.2534,0.3777,72.84,28.08,46.22,30.11,30.2,0.2734,7.51,36.14,88.62,0.3804,0.1533,31.93,,,Yankee Stadium,
