rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,691181,Emmanuel Rodriguez,MIN,LAA,2026-09-19T01:38:00Z,Scheduled,5,Grayson Rodriguez,680570,R,69.0,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Platoon Edge",94.6,53.8,28.2,81.9,80.0,39.8,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,5,5,19,1,"Last 5 games: 5/19, 1 HR","platoon edge; pitcher baseline 8.9% barrel, 14.0 HR allowed",EV profile; pitcher fly-ball pressure modest,28.6,64.3,95.7,105.5107,0.748,0.386,0.48,77.9,80.0,35.7,35.7,1.0,0.316,8.9,45.6,90.4,0.465,0.191,28.1,,,Angel Stadium,
2,670541,Yordan Alvarez,HOU,ATL,2026-09-19T00:10:00Z,Scheduled,2,Tyler Mahle,641816,R,62.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",78.1,37.3,27.6,95.5,80.0,56.2,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.0% barrel, 14.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.55,53.11,94.42,104.8373,0.6127,0.3042,0.428,76.17,62.08,41.02,36.1,29.1,0.2459,7.02,37.59,89.48,0.4004,0.1495,26.7,,,Daikin Park,
3,682829,Elly De La Cruz,CIN,CHC,2026-09-18T22:40:00Z,Scheduled,2,,,,59.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",61.7,40.2,39.3,95.5,75.0,63.1,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 0.0% barrel, 0.0 HR allowed",EV profile; pitcher fly-ball pressure modest,14.64,51.06,93.66,104.6035,0.4849,0.2101,0.3612,75.59,55.45,34.89,24.89,26.2,0.2173,,,,,,,,,Great American Ball Park,
4,665833,Oneil Cruz,PIT,KC,2026-09-18T22:40:00Z,Scheduled,2,Randy Dobnak,677976,R,59.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",70.2,35.6,24.3,95.5,80.0,64.8,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 5.1% barrel, 4.5 HR allowed",EV profile; pitcher fly-ball pressure modest,16.95,55.34,95.1,106.6305,0.4628,0.2224,0.3457,78.24,75.89,40.09,23.03,19.3,0.199,5.11,44.96,91.46,0.4171,0.1345,23.32,,,PNC Park,
5,656941,Kyle Schwarber,PHI,NYM,2026-09-18T23:15:00Z,Scheduled,1,Zac Thornton,804267,L,58.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",74.9,48.8,24.8,88.7,50.0,18.3,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,1,"Last 7 games: 3/25, 1 HR","same-side matchup; pitcher baseline 9.1% barrel, 12.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.72,52.46,92.97,104.1156,0.5229,0.2812,0.3758,77.16,75.42,54.49,33.04,48.3,0.2936,9.1,41.4,89.3,0.448,0.18,29.5,,,Citi Field,
6,665742,Juan Soto,NYM,PHI,2026-09-18T23:15:00Z,Scheduled,2,,,,57.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",69.7,41.2,24.8,95.5,60.0,34.9,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.98,50.54,92.96,103.0867,0.5835,0.2916,0.4171,72.76,32.47,40.09,31.56,30.4,0.2515,,,,,,,,,Citi Field,
7,665019,Kody Clemens,MIN,LAA,2026-09-19T01:38:00Z,Scheduled,3,Grayson Rodriguez,680570,R,56.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",52.6,53.8,28.2,92.1,80.0,37.8,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","platoon edge; pitcher baseline 8.9% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.72,47.11,91.99,101.4875,0.4594,0.2097,0.3345,72.06,14.49,46.29,33.32,23.9,0.2266,8.9,45.6,90.4,0.465,0.191,28.1,,,Angel Stadium,
8,701398,Sal Stewart,CIN,CHC,2026-09-18T22:40:00Z,Scheduled,3,,,,56.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",59.0,41.2,39.3,92.1,60.0,53.9,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,1,Contact streak: 10/28 over last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.19,43.82,91.76,101.52,0.5194,0.2512,0.3625,72.1,26.51,37.87,31.95,23.2,0.2291,,,,,,,,,Great American Ball Park,
9,545361,Mike Trout,LAA,MIN,2026-09-19T01:38:00Z,Scheduled,2,Connor Prielipp,687570,L,55.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",59.2,39.0,28.2,95.5,78.0,28.9,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,1,"Last 7 games: 4/21, 1 HR","platoon edge; pitcher baseline 6.8% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.66,46.36,90.2,102.8268,0.481,0.2341,0.372,74.56,46.72,35.67,31.07,22.5,0.1902,6.8,41.5,90.2,0.39,0.149,26.0,,,Angel Stadium,
10,682985,Riley Greene,DET,CWS,2026-09-18T23:40:00Z,Scheduled,4,David Sandlin,689818,R,54.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",62.1,30.0,27.6,90.4,80.0,63.3,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,27,1,Contact streak: 12/27 over last 7 games,"platoon edge; pitcher baseline 8.3% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.7,47.11,90.25,102.5993,0.5015,0.2445,0.36,75.6,58.01,38.84,33.59,24.8,0.2077,8.3,33.3,86.8,0.369,0.146,25.0,,,Rate Field,
11,575929,Willson Contreras,BOS,TB,2026-09-18T23:10:00Z,Scheduled,4,Ian Seymour,693855,L,54.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",56.4,43.1,27.6,90.4,78.0,30.3,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,1,"Last 7 games: 4/20, 1 HR","platoon edge; pitcher baseline 9.1% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.62,45.71,90.04,102.6842,0.4873,0.231,0.3713,76.7,68.24,46.31,28.49,24.9,0.2278,9.13,37.52,88.35,0.3903,0.1663,29.45,,,Tropicana Field,
